repo_id,repo_full_name,repo_html_url,size,stargazers_count,watchers_count,forks_count,score
62934942,shashankg7/Deep-Reinforcement-Learning,https://github.com/shashankg7/Deep-Reinforcement-Learning,5,0,0,0,1.0
59665993,0xbunyip/dqnet-Thesis,https://github.com/0xbunyip/dqnet-Thesis,23419,0,0,0,1.0
75834574,Lan1991Xu/DQN-Detection,https://github.com/Lan1991Xu/DQN-Detection,192,0,0,1,1.0
62487377,mainak124/deep_policy_grad,https://github.com/mainak124/deep_policy_grad,9,1,1,0,1.0
64492748,Icohedron/Hexitricity,https://github.com/Icohedron/Hexitricity,129666,7,7,3,1.0
62103288,harvitronix/project-becho,https://github.com/harvitronix/project-becho,10,0,0,4,1.0
64334137,renocreative/continuous-deep-q-learning,https://github.com/renocreative/continuous-deep-q-learning,12775,1,1,0,1.0
62226467,yao62995/Deep_Reinforcement_Learning,https://github.com/yao62995/Deep_Reinforcement_Learning,23,39,39,26,1.0
63970207,tokb23/async-rl,https://github.com/tokb23/async-rl,24,5,5,2,1.0
67358616,mlosch/python-deeprltetris,https://github.com/mlosch/python-deeprltetris,23,1,1,1,1.0
85548282,KEniuniu/deep-asynchronous-RL,https://github.com/KEniuniu/deep-asynchronous-RL,4,0,0,0,1.0
58376719,traai/async-deep-rl,https://github.com/traai/async-deep-rl,393,68,68,25,1.0
70831490,yanji84/deep-recurrent-attention-model,https://github.com/yanji84/deep-recurrent-attention-model,6,20,20,5,1.0
70220858,AaronYALai/Reinforcement_Learning_Project,https://github.com/AaronYALai/Reinforcement_Learning_Project,10699,18,18,2,1.0
62342456,sisl/rltools,https://github.com/sisl/rltools,231,7,7,4,1.0
41141871,thushv89/DeepReinforcementLearning,https://github.com/thushv89/DeepReinforcementLearning,1108,1,1,1,1.0
62483674,yanji84/async-q-learning,https://github.com/yanji84/async-q-learning,78552,1,1,0,1.0
66715117,saukymo/caffe-flappybird,https://github.com/saukymo/caffe-flappybird,522,0,0,0,1.0
75074723,vyraun/demeter,https://github.com/vyraun/demeter,278,0,0,0,1.0
48509205,mohsenmalmir/DeepLearningStack,https://github.com/mohsenmalmir/DeepLearningStack,141,3,3,5,1.0
73761506,Schnei1811/ArtificialLife,https://github.com/Schnei1811/ArtificialLife,13,9,9,3,1.0
71153013,cwschultz88/wumpus_deep_reinforcement_learning,https://github.com/cwschultz88/wumpus_deep_reinforcement_learning,9,0,0,0,1.0
72727056,crikeli/Pong_DeepLearning,https://github.com/crikeli/Pong_DeepLearning,7,0,0,0,1.0
74174637,FrownyFace/DQN,https://github.com/FrownyFace/DQN,0,0,0,0,1.0
73005456,johnholl/deeprl,https://github.com/johnholl/deeprl,32,0,0,0,1.0
62263371,ramon-oliveira/bayesian-drl,https://github.com/ramon-oliveira/bayesian-drl,50,1,1,1,1.0
69508183,srijansood/flappy-bird-bot,https://github.com/srijansood/flappy-bird-bot,6972,1,1,0,1.0
72366602,rugern/electroville,https://github.com/rugern/electroville,120,0,0,0,1.0
74957251,coder-james/DQN,https://github.com/coder-james/DQN,11,0,0,0,1.0
71075986,tian-zhou/C-DRL,https://github.com/tian-zhou/C-DRL,24,1,1,0,1.0
69974468,kh-kim/stock_market_reinforcement_learning,https://github.com/kh-kim/stock_market_reinforcement_learning,377,772,772,324,1.0
74663623,anassinator/dqn-obstacle-avoidance,https://github.com/anassinator/dqn-obstacle-avoidance,1878,57,57,18,1.0
76521344,gliese581gg/batch-A3C_tensorflow,https://github.com/gliese581gg/batch-A3C_tensorflow,9308,22,22,8,1.0
74333933,sanketloke/dlmultiagentsoccer,https://github.com/sanketloke/dlmultiagentsoccer,997,17,17,5,1.0
76250108,gliese581gg/A3C_tensorflow,https://github.com/gliese581gg/A3C_tensorflow,174,15,15,7,1.0
71204283,yandexdataschool/dqn_binder,https://github.com/yandexdataschool/dqn_binder,10505,6,6,3,1.0
72307904,harpribot/harpreif,https://github.com/harpribot/harpreif,7013,7,7,4,1.0
71912971,wlwlw/VisualArm,https://github.com/wlwlw/VisualArm,13320,6,6,5,1.0
76538829,paraggupta1993/Reinforcement_Learning,https://github.com/paraggupta1993/Reinforcement_Learning,130,1,1,2,1.0
93255687,karnehm/rl_sudoku,https://github.com/karnehm/rl_sudoku,15,1,1,2,1.0
71172100,KaixiangLin/project-DRL16,https://github.com/KaixiangLin/project-DRL16,11270,0,0,2,1.0
75333836,czlowiekrakieta/deep-reinforcement-learning,https://github.com/czlowiekrakieta/deep-reinforcement-learning,1510,0,0,0,1.0
73640382,cameronfabbri/Deep-Q-Networks,https://github.com/cameronfabbri/Deep-Q-Networks,24,0,0,0,1.0
75446011,wulfebw/madrl,https://github.com/wulfebw/madrl,5,1,1,0,1.0
70245942,weiHelloWorld/IE598_project,https://github.com/weiHelloWorld/IE598_project,445,0,0,0,1.0
76169839,tafarouk/MA-RL-DNN,https://github.com/tafarouk/MA-RL-DNN,17,0,0,0,1.0
79687993,yandexdataschool/sklearn-deeprl,https://github.com/yandexdataschool/sklearn-deeprl,102,52,52,12,1.0
61895435,laurenssam/AlphaBubble,https://github.com/laurenssam/AlphaBubble,655,9,9,4,1.0
76974692,JunhongXu/Reinforcement-Learning-Tensorflow,https://github.com/JunhongXu/Reinforcement-Learning-Tensorflow,46,2,2,2,1.0
79475113,snowkylin/rl-flappybird,https://github.com/snowkylin/rl-flappybird,47797,2,2,4,1.0
79802830,snowkylin/async_rl,https://github.com/snowkylin/async_rl,130169,4,4,3,1.0
64824735,jcyk/Guess-Deep-reinforcement-Learing,https://github.com/jcyk/Guess-Deep-reinforcement-Learing,9096,2,2,0,1.0
132576478,zengjie617789/Asynchronous-Deep-Reinforcement-Learning,https://github.com/zengjie617789/Asynchronous-Deep-Reinforcement-Learning,1154,0,0,0,1.0
78383201,shravya-thatipally/Deep-Reinforcement-Learning-using-Pong-Player,https://github.com/shravya-thatipally/Deep-Reinforcement-Learning-using-Pong-Player,316,0,0,0,1.0
71221530,RydbirkJr/deep_learning,https://github.com/RydbirkJr/deep_learning,197347,0,0,0,1.0
75000847,MarcSzafraniec/RubiksLearning,https://github.com/MarcSzafraniec/RubiksLearning,121971,0,0,0,1.0
78621325,hsinyuliu/DQN-2013NIPS,https://github.com/hsinyuliu/DQN-2013NIPS,3,1,1,1,1.0
78178830,Yugnaynehc/EasyTL,https://github.com/Yugnaynehc/EasyTL,33,0,0,0,1.0
77231657,wrangel/MLE_capstoneProject,https://github.com/wrangel/MLE_capstoneProject,63351,0,0,1,1.0
58062739,muupan/async-rl,https://github.com/muupan/async-rl,9775,395,395,83,1.0
53983614,Jabberwockyll/deep_rl_ale,https://github.com/Jabberwockyll/deep_rl_ale,742589,74,74,16,1.0
81118192,favetelinguis/DeepReinforcementLearning,https://github.com/favetelinguis/DeepReinforcementLearning,378,11,11,2,1.0
81971974,rajshah4/deep-RL,https://github.com/rajshah4/deep-RL,726,10,10,2,1.0
82825697,KrUciFieR-Jr/Ping-Pong-Deep-Reinforcement-Learning,https://github.com/KrUciFieR-Jr/Ping-Pong-Deep-Reinforcement-Learning,7,5,5,2,1.0
81091031,futurely/openai-universe-agents,https://github.com/futurely/openai-universe-agents,2487,8,8,2,1.0
82344944,sameerbardapurkar/10703assignment1,https://github.com/sameerbardapurkar/10703assignment1,29708,8,8,2,1.0
79322090,hhappy06/Reinforcement-Learning,https://github.com/hhappy06/Reinforcement-Learning,16,5,5,0,1.0
81536573,haoshuji/deep_reinforcement_learning,https://github.com/haoshuji/deep_reinforcement_learning,296,0,0,0,1.0
80248376,Healbadbad/deep-reinforcement-learning,https://github.com/Healbadbad/deep-reinforcement-learning,13,0,0,1,1.0
82120106,SubhasreeSengupta/Deep_reinforcement_learning,https://github.com/SubhasreeSengupta/Deep_reinforcement_learning,12,0,0,0,1.0
80944459,salmonyang/CS294_Deep_Reinforcement_Learning,https://github.com/salmonyang/CS294_Deep_Reinforcement_Learning,22880,0,0,1,1.0
81341861,payneal/AI_ReinforcementLearningInPython,https://github.com/payneal/AI_ReinforcementLearningInPython,3166,0,0,0,1.0
80910312,dk14/machine-learning-experiments,https://github.com/dk14/machine-learning-experiments,348,1,1,1,1.0
80763999,aldopareja/deepRL-hw1,https://github.com/aldopareja/deepRL-hw1,5,0,0,0,1.0
76869178,Caselles/Deep_Q-Network,https://github.com/Caselles/Deep_Q-Network,252,2,2,0,1.0
81602744,C0deSamurai/deep-2048-shredder,https://github.com/C0deSamurai/deep-2048-shredder,181,0,0,1,1.0
78960642,erikstrand/deep-milling,https://github.com/erikstrand/deep-milling,32,0,0,0,1.0
82877583,JestelleWang/deep-learning,https://github.com/JestelleWang/deep-learning,19413,1,1,1,1.0
41060205,sisl/Chimp,https://github.com/sisl/Chimp,2194,72,72,15,1.0
83947809,jachiam/surprise,https://github.com/jachiam/surprise,21,19,19,4,1.0
61920136,mimoralea/king-pong,https://github.com/mimoralea/king-pong,62479,23,23,7,1.0
77016622,calclavia/rl,https://github.com/calclavia/rl,74,14,14,1,1.0
84561945,bhaktipriya/Atari,https://github.com/bhaktipriya/Atari,17,12,12,2,1.0
78961775,lancelee82/rockrose,https://github.com/lancelee82/rockrose,30,5,5,1,1.0
75297455,nanxintin/drl-research,https://github.com/nanxintin/drl-research,174,1,1,2,1.0
84900094,ethanscho/dqn-atari-tensorflow,https://github.com/ethanscho/dqn-atari-tensorflow,2480,1,1,3,1.0
84271987,ljmachado/DeepReinforcementLearning,https://github.com/ljmachado/DeepReinforcementLearning,119,0,0,0,1.0
85615208,luonay/deepRL_hw1,https://github.com/luonay/deepRL_hw1,25842,0,0,0,1.0
79708826,shinshiner/deep-reinforcement-learning,https://github.com/shinshiner/deep-reinforcement-learning,852,0,0,0,1.0
85206854,yus013/deep-reinforcement-learning,https://github.com/yus013/deep-reinforcement-learning,9756,1,1,0,1.0
81021199,kai3n/Deep-Reinforcement-Leaning,https://github.com/kai3n/Deep-Reinforcement-Leaning,8,0,0,0,1.0
85454185,GeekLiB/keras-rl,https://github.com/GeekLiB/keras-rl,843,0,0,0,1.0
85228363,babooloon/CarRacingAlpha,https://github.com/babooloon/CarRacingAlpha,13,1,1,0,1.0
86391424,staturecrane/DeepQDoom,https://github.com/staturecrane/DeepQDoom,3,1,1,1,1.0
138173016,zhuzhenping/Chinese_A_Stock_DRL_Trader,https://github.com/zhuzhenping/Chinese_A_Stock_DRL_Trader,23,0,0,0,1.0
84385494,keven425/prisoners-dilemma-nn,https://github.com/keven425/prisoners-dilemma-nn,100,0,0,1,1.0
84344338,mburq/Deep_rl_stochastic_opt,https://github.com/mburq/Deep_rl_stochastic_opt,20,0,0,0,1.0
85739595,AlanPi1992/deeprl_for_atari_games,https://github.com/AlanPi1992/deeprl_for_atari_games,3320,0,0,1,1.0
85952214,SahilC/deep-q-network,https://github.com/SahilC/deep-q-network,28,0,0,1,1.0
81401802,keenlooks/drlbot,https://github.com/keenlooks/drlbot,23,1,1,0,1.0
54081841,gliese581gg/DQN_tensorflow,https://github.com/gliese581gg/DQN_tensorflow,17179,158,158,52,1.0
89051439,yushu-liu/icra2017-visual-navigation,https://github.com/yushu-liu/icra2017-visual-navigation,17,85,85,90,1.0
88688615,agsarthak/Goal-oriented-Dialogue-Systems,https://github.com/agsarthak/Goal-oriented-Dialogue-Systems,108135,13,13,10,1.0
67710940,santteegt/ucl-drl-msc,https://github.com/santteegt/ucl-drl-msc,7285,21,21,7,1.0
88419109,pekaalto/DQN,https://github.com/pekaalto/DQN,3981,42,42,13,1.0
88006567,EmmaBYPeng/CS294,https://github.com/EmmaBYPeng/CS294,14451,11,11,4,1.0
74222999,cgel/DRL,https://github.com/cgel/DRL,1221,27,27,9,1.0
70646634,alexgaoo/coordination,https://github.com/alexgaoo/coordination,268127,9,9,5,1.0
72330883,andreimuntean/Deep-Q-Learning,https://github.com/andreimuntean/Deep-Q-Learning,64,7,7,3,1.0
88744440,samyzaf/tdfmaze,https://github.com/samyzaf/tdfmaze,34,7,7,5,1.0
81051940,BangaloreSharks/SharkStock,https://github.com/BangaloreSharks/SharkStock,133496,63,63,33,1.0
85385261,tankche1/Deep-Reinforcement-Learning,https://github.com/tankche1/Deep-Reinforcement-Learning,2217,2,2,0,1.0
83405296,happywu/A3C,https://github.com/happywu/A3C,7255,11,11,0,1.0
85435378,vigneshwerv/Deep-Reinforcement-Learning-in-Video-Games,https://github.com/vigneshwerv/Deep-Reinforcement-Learning-in-Video-Games,8964,2,2,0,1.0
84164236,lerrytang/CS294_DRL,https://github.com/lerrytang/CS294_DRL,1244,2,2,0,1.0
81394679,AlberErre/DeepReinforcementLearning-Tensorflow,https://github.com/AlberErre/DeepReinforcementLearning-Tensorflow,14,1,1,0,1.0
82754157,hoopwoop/Deep-reinforcement-learning,https://github.com/hoopwoop/Deep-reinforcement-learning,4872,0,0,1,1.0
82890654,AlexandreSev/Deep-Reinforcement-Learning,https://github.com/AlexandreSev/Deep-Reinforcement-Learning,3298,0,0,1,1.0
87661251,araina2/Deep-Reinforcement-Learning,https://github.com/araina2/Deep-Reinforcement-Learning,263,0,0,0,1.0
82766777,ShiyuanChen/deep-reinforcement-learning,https://github.com/ShiyuanChen/deep-reinforcement-learning,28,0,0,0,1.0
69721417,justinjfu/chaos_theory,https://github.com/justinjfu/chaos_theory,133,0,0,1,1.0
87571242,benjaminRomano/tetris-ai,https://github.com/benjaminRomano/tetris-ai,2477,2,2,0,1.0
82494588,pashadude/TensorflowReinforcementLearning,https://github.com/pashadude/TensorflowReinforcementLearning,100738,1,1,0,1.0
82427912,andreimuntean/Deep-Q-Learning-Lite,https://github.com/andreimuntean/Deep-Q-Learning-Lite,20,0,0,0,1.0
86704493,demelin/Learning-Reinforcement-Learning-with-TensorFlow,https://github.com/demelin/Learning-Reinforcement-Learning-with-TensorFlow,14,1,1,1,1.0
88805029,Malmactor/maze-solver,https://github.com/Malmactor/maze-solver,9,0,0,0,1.0
77157992,356255531/FlappyBirdDQN,https://github.com/356255531/FlappyBirdDQN,31284,1,1,0,1.0
87193619,tanguy-s/aml-cw03,https://github.com/tanguy-s/aml-cw03,1944506,0,0,0,1.0
86144526,parthlathiya/Carrom-Game,https://github.com/parthlathiya/Carrom-Game,7279,0,0,0,1.0
88083076,noahgolmant/simpledgn,https://github.com/noahgolmant/simpledgn,3,0,0,0,1.0
85747596,Eranpaz/RL,https://github.com/Eranpaz/RL,5358,0,0,0,1.0
88803394,andyfangzheng/OpenAI-Gym-Challenge,https://github.com/andyfangzheng/OpenAI-Gym-Challenge,2606,0,0,0,1.0
91716856,shenyichen105/Deep-Reinforcement-Learning-in-Stock-Trading,https://github.com/shenyichen105/Deep-Reinforcement-Learning-in-Stock-Trading,6788,286,286,126,1.0
85287436,juanblak/Deep-Reinforcement-Learning,https://github.com/juanblak/Deep-Reinforcement-Learning,12,21,21,8,1.0
91074298,danieltsai0/Cooperative-Multi-Agent-Reinforcement-Learning-for-Low-Level-Wireless-Communication,https://github.com/danieltsai0/Cooperative-Multi-Agent-Reinforcement-Learning-for-Low-Level-Wireless-Communication,147728,26,26,18,1.0
92107154,bhanuvikasr/Deep-RL-TORCS,https://github.com/bhanuvikasr/Deep-RL-TORCS,15100,21,21,13,1.0
75010463,babaktr/async-deep-flappybird,https://github.com/babaktr/async-deep-flappybird,2790,31,31,7,1.0
110926344,dauren95/reinforcement-learning,https://github.com/dauren95/reinforcement-learning,277,0,0,6,1.0
86003050,psjanani/RLAProject,https://github.com/psjanani/RLAProject,153245,4,4,2,1.0
85214292,paengs/DQN,https://github.com/paengs/DQN,10,10,10,2,1.0
89447011,mmt/deeprl22,https://github.com/mmt/deeprl22,67740,0,0,2,1.0
76668310,poweic/deep-reinforcement-learning,https://github.com/poweic/deep-reinforcement-learning,393,3,3,1,1.0
74970209,vojtechcima/drl-breakout,https://github.com/vojtechcima/drl-breakout,10,1,1,2,1.0
75156037,maximlakin/deep-reinforcement-learning,https://github.com/maximlakin/deep-reinforcement-learning,1742,2,2,0,1.0
81606471,phoom33/Deep-Reinforcement-Learning,https://github.com/phoom33/Deep-Reinforcement-Learning,15286,0,0,0,1.0
89971600,missing-semicolon/udemy-deep-reinforcement-learning-class,https://github.com/missing-semicolon/udemy-deep-reinforcement-learning-class,104,0,0,0,1.0
85380178,ZhenghaoFei/hybrid_net,https://github.com/ZhenghaoFei/hybrid_net,373,4,4,0,1.0
87364681,ymao1993/DRL,https://github.com/ymao1993/DRL,93425,0,0,1,1.0
82743696,shengxiao01/Deep-Reinforcement-Learning-for-Playing-Atari-Games,https://github.com/shengxiao01/Deep-Reinforcement-Learning-for-Playing-Atari-Games,488001,0,0,0,1.0
91651773,mthrok/luchador-rl,https://github.com/mthrok/luchador-rl,87476,0,0,1,1.0
89585314,renatolfc/approximate-reinforcement-learning,https://github.com/renatolfc/approximate-reinforcement-learning,137,0,0,0,1.0
79189607,hsinyuan-huang/Brain,https://github.com/hsinyuan-huang/Brain,2,0,0,1,1.0
82274014,cog-isa/deep-blocks,https://github.com/cog-isa/deep-blocks,737,0,0,1,1.0
80173938,llulai/drl-connect4,https://github.com/llulai/drl-connect4,154,0,0,0,1.0
91563214,GeekLiB/tensorlayer,https://github.com/GeekLiB/tensorlayer,2380,1,1,0,1.0
78482073,nerdoid/dqn,https://github.com/nerdoid/dqn,158,0,0,0,1.0
63173699,danijar/mindpark,https://github.com/danijar/mindpark,385,161,161,29,1.0
84677587,Alfredvc/paac,https://github.com/Alfredvc/paac,47471,202,202,60,1.0
91955092,manantomar/Reinforcement-Learning,https://github.com/manantomar/Reinforcement-Learning,63376,8,8,4,1.0
90003857,nipunagarwala/cs234_final_project,https://github.com/nipunagarwala/cs234_final_project,302,6,6,5,1.0
89055104,pianomania/DQN-pytorch,https://github.com/pianomania/DQN-pytorch,6156,23,23,10,1.0
89202565,Elitack/DRL,https://github.com/Elitack/DRL,99449,7,7,3,1.0
60091115,Yaoshicn/DeepLearningFlappyFrog,https://github.com/Yaoshicn/DeepLearningFlappyFrog,56573,16,16,1,1.0
73765998,Voidminded/DQNStageROS,https://github.com/Voidminded/DQNStageROS,1886,23,23,3,1.0
85358178,tanmayshankar/DeepVectorPolicyFields,https://github.com/tanmayshankar/DeepVectorPolicyFields,49362,5,5,1,1.0
95521262,ewanlee/rl_car,https://github.com/ewanlee/rl_car,11759,3,3,0,1.0
90917848,zachabarnes/slither-rl-agent,https://github.com/zachabarnes/slither-rl-agent,1866,4,4,1,1.0
95493772,alexmcnulty/Deep-Reinforcement-learning,https://github.com/alexmcnulty/Deep-Reinforcement-learning,25507,0,0,0,1.0
70930035,derrowap/Deep-Reinforcement-Learning-Project,https://github.com/derrowap/Deep-Reinforcement-Learning-Project,454646,0,0,0,1.0
85780863,niudinlp/Artificial-Intelligence,https://github.com/niudinlp/Artificial-Intelligence,29,0,0,0,1.0
87204796,dt448/CamPartIIIEssay_Deep_Reinforcement_Learning,https://github.com/dt448/CamPartIIIEssay_Deep_Reinforcement_Learning,619,0,0,0,1.0
109964127,amoliu/Project-Deep-Reinforcement-Learning-With-Policy-Gradient,https://github.com/amoliu/Project-Deep-Reinforcement-Learning-With-Policy-Gradient,280592,0,0,0,1.0
89823177,johnnyflame/deepreinforcementlearning,https://github.com/johnnyflame/deepreinforcementlearning,136911,0,0,0,1.0
88232798,defef/reinforcement-learning-examples,https://github.com/defef/reinforcement-learning-examples,8,0,0,0,1.0
94752299,malkayo/AiRL,https://github.com/malkayo/AiRL,2274,0,0,0,1.0
100441091,gaoxuesong/RL-Traffic-Agent,https://github.com/gaoxuesong/RL-Traffic-Agent,330,0,0,0,1.0
69737148,C-Pro/tictactoe_dqn_tf,https://github.com/C-Pro/tictactoe_dqn_tf,21,1,1,0,1.0
86932266,gowthu2712/FlappyBird,https://github.com/gowthu2712/FlappyBird,41494,0,0,0,1.0
91110562,ducminhkhoi/DRL,https://github.com/ducminhkhoi/DRL,43,0,0,0,1.0
82386709,ozanarkancan/rlberkeley-solutions,https://github.com/ozanarkancan/rlberkeley-solutions,4739,0,0,0,1.0
92028817,kkweon/PAAC-in-Tensorflow,https://github.com/kkweon/PAAC-in-Tensorflow,4343,0,0,0,1.0
82490064,illidanlab/cdrl,https://github.com/illidanlab/cdrl,30243,31,31,11,1.0
95011355,Riashat/Bayesian-Exploration-Deep-RL,https://github.com/Riashat/Bayesian-Exploration-Deep-RL,199,17,17,6,1.0
94728826,alok/deep-rl-course,https://github.com/alok/deep-rl-course,4583,8,8,6,1.0
58234240,mthrok/luchador,https://github.com/mthrok/luchador,87238,5,5,3,1.0
98601547,jxwufan/NLOR_A3C,https://github.com/jxwufan/NLOR_A3C,36322,17,17,10,1.0
96635352,wikke/Reinforcement_Learning,https://github.com/wikke/Reinforcement_Learning,8,7,7,2,1.0
90571176,hartikainen/berkeley-cs294,https://github.com/hartikainen/berkeley-cs294,1335,0,0,2,1.0
97262447,leomzhong/DeepReinforcementLearningCourse,https://github.com/leomzhong/DeepReinforcementLearningCourse,37,0,0,0,1.0
97630274,subhashree-r/Tetris_DeepReinforcementLearning,https://github.com/subhashree-r/Tetris_DeepReinforcementLearning,212937,1,1,1,1.0
97828249,fabulousjeong/OPENML-Deep-Reinforcement-Learning,https://github.com/fabulousjeong/OPENML-Deep-Reinforcement-Learning,23,0,0,0,1.0
94056456,Faur/deep-reinforcement-learning,https://github.com/Faur/deep-reinforcement-learning,205,0,0,1,1.0
92607210,ykteh93/Deep_Reinforcement_Learning-CartPole,https://github.com/ykteh93/Deep_Reinforcement_Learning-CartPole,221,1,1,1,1.0
89783106,wuhuikai/pytorch-dqn-universe,https://github.com/wuhuikai/pytorch-dqn-universe,12,2,2,0,1.0
96971948,zzh8829/deep-everwing,https://github.com/zzh8829/deep-everwing,44720,0,0,1,1.0
95905073,iamlxb3/gomoku,https://github.com/iamlxb3/gomoku,4476,1,1,0,1.0
96478628,mrsata/mobileHealth,https://github.com/mrsata/mobileHealth,27,0,0,0,1.0
97814777,DaveLeongSingapore/Github-JupyterNotebook-Examples-Deep-Reinforcement-Learning-Algorithms-Keras-Rl-OpenAIGym-,https://github.com/DaveLeongSingapore/Github-JupyterNotebook-Examples-Deep-Reinforcement-Learning-Algorithms-Keras-Rl-OpenAIGym-,5,0,0,0,1.0
97742656,JayThibs/openai-gym-examples,https://github.com/JayThibs/openai-gym-examples,4167,0,0,1,1.0
92112835,rz4/DeepDoom-DE,https://github.com/rz4/DeepDoom-DE,6265,1,1,0,1.0
90582620,laermannjan/nip-deeprl-project,https://github.com/laermannjan/nip-deeprl-project,274492,0,0,0,1.0
52731535,yandexdataschool/AgentNet,https://github.com/yandexdataschool/AgentNet,209557,299,299,72,1.0
76085760,tobegit3hub/deep_q,https://github.com/tobegit3hub/deep_q,41,47,47,19,1.0
82790973,txizzle/drl,https://github.com/txizzle/drl,66746,137,137,44,1.0
100688127,gaoxuesong/DeepTrafficControl,https://github.com/gaoxuesong/DeepTrafficControl,19504,17,17,6,1.0
99341022,lightaime/cs294,https://github.com/lightaime/cs294,1095,10,10,6,1.0
96064059,xinghai-sun/deep-rl,https://github.com/xinghai-sun/deep-rl,641,18,18,2,1.0
101305240,ifiaposto/Hierarchical-Deep-Reinforcement-Learning,https://github.com/ifiaposto/Hierarchical-Deep-Reinforcement-Learning,1456,4,4,2,1.0
73632467,openAGI/deeprl,https://github.com/openAGI/deeprl,60,4,4,1,1.0
100156570,liuhengli/Deep-Reinforcement-Learning,https://github.com/liuhengli/Deep-Reinforcement-Learning,25,2,2,1,1.0
101557814,polaroidz/deep_rl,https://github.com/polaroidz/deep_rl,1,2,2,0,1.0
173453953,iCarossio/Deep-Reinforcement-Learning,https://github.com/iCarossio/Deep-Reinforcement-Learning,62478,0,0,1,1.0
96049458,ondrejbiza/drl_gym,https://github.com/ondrejbiza/drl_gym,1067,0,0,0,1.0
93125375,newbiesitl/DRL,https://github.com/newbiesitl/DRL,103,0,0,0,1.0
101378805,rish-16/Reinforcement-Learning-Playground,https://github.com/rish-16/Reinforcement-Learning-Playground,1,0,0,0,1.0
97946801,yuchen8807/Navi_DeepRL,https://github.com/yuchen8807/Navi_DeepRL,156405,1,1,1,1.0
98619713,jayanthkaturi/deepRL_agent,https://github.com/jayanthkaturi/deepRL_agent,15,0,0,0,1.0
101607067,vishalbhalla/deeprlbootcamp,https://github.com/vishalbhalla/deeprlbootcamp,1870,0,0,1,1.0
97014114,ytgui/tensorflow-drl,https://github.com/ytgui/tensorflow-drl,14,2,2,0,1.0
88020935,adrianmfi/deep-tictactoe,https://github.com/adrianmfi/deep-tictactoe,389,0,0,0,1.0
101017902,TioMinho/DeepRL_XIISAC,https://github.com/TioMinho/DeepRL_XIISAC,27408,0,0,1,1.0
112034939,shubhampachori12110095/FlappyBird_DQN,https://github.com/shubhampachori12110095/FlappyBird_DQN,45868,0,0,0,1.0
100886358,dmitrilosev/policy-network,https://github.com/dmitrilosev/policy-network,1,0,0,0,1.0
83807351,KokoMind/A3C-TF,https://github.com/KokoMind/A3C-TF,5,0,0,0,1.0
103963185,Breakend/DeepReinforcementLearningThatMatters,https://github.com/Breakend/DeepReinforcementLearningThatMatters,18,148,148,26,1.0
63988504,futurecrew/DeepRL,https://github.com/futurecrew/DeepRL,7720,17,17,8,1.0
